,Time,data
184,136.299,25.50816059112549
185,136.42700000000002,25.664140701293945
186,136.53,25.77966690063477
187,136.635,25.906325340271
188,136.786,26.054176807403564
189,136.904,26.19750046730041
190,137.02,26.31895399093628
191,137.13299999999998,26.44034695625305
192,137.249,26.56357717514038
193,137.345,26.69742774963379
194,137.441,26.815322160720825
195,137.569,26.9512403011322
196,137.714,27.066049575805664
197,137.841,27.17993187904358
198,137.905,27.2970929145813
199,138.03799999999998,27.44804310798645
200,138.15,27.563663959503174
201,138.293,27.718017101287842
202,138.42600000000002,27.848472356796265
203,138.526,27.97309422492981
204,138.66899999999998,28.14409923553467
205,138.789,28.275854349136356
206,138.85399999999998,28.34417462348938
207,139.011,28.514601945877075
208,139.14,28.65341186523437
209,139.267,28.80323481559753
210,139.372,28.919940948486328
