Time,data
141.911,31.75809407234192
142.027,31.88723063468933
142.118,32.00851917266846
142.228,32.134904623031616
142.348,32.268144369125366
142.473,32.387187242507935
142.613,32.55926275253296
142.726,32.69958281517029
142.821,32.816843032836914
143.013,33.02092742919922
143.203,33.22551870346069
143.314,33.35276961326599
143.46,33.480244398117065
143.524,33.60149908065796
143.639,33.743579626083374
143.742,33.85833716392517
143.839,33.96930456161499
143.991,34.13130855560303
144.117,34.26156258583069
144.241,34.408499240875244
144.347,34.52844309806824
144.49,34.701738595962524
144.589,34.82806062698364
144.75,34.9540479183197
144.82,35.06871962547302
144.964,35.23567509651184
145.077,35.370521783828735
145.196,35.48992729187012
145.306,35.610313415527344
145.421,35.742358922958374
145.504,35.86446523666382
145.701,36.042951583862305
145.764,36.16944742202759
145.885,36.31194353103638
